label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,88710.0,88710.0,88730.0,88810.0
Left-Caudate,45397.0,45397.0,45892.0,46035.0
Left-Putamen,68556.0,68556.0,68160.0,68352.0
Left-Pallidum,23764.0,23764.0,23491.0,23114.0
Brain-Stem,362944.0,362944.0,358016.0,356464.0
Left-Hippocampus,66878.0,66878.0,65688.0,65535.0
Left-Amygdala,34092.0,34092.0,34632.0,34704.0
Left-Accumbens-area,12168.0,12168.0,12142.0,12246.0
Right-Thalamus-Proper,413070.0,413070.0,413462.0,414246.0
Right-Caudate,192650.0,192650.0,193550.0,193050.0
Right-Putamen,301053.0,301053.0,304317.0,302889.0
Right-Pallidum,95316.0,95316.0,94432.0,95472.0
Right-Hippocampus,201824.0,201824.0,199598.0,200075.0
Right-Amygdala,95796.0,95796.0,97470.0,96552.0
Right-Accumbens-area,29928.0,29928.0,30276.0,31262.0
