label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,80680.0,80680.0,80870.0,80930.0
Left-Caudate,37565.0,37565.0,37565.0,37444.0
Left-Putamen,68088.0,68088.0,68268.0,67620.0
Left-Pallidum,25376.0,25376.0,25285.0,25272.0
Brain-Stem,340048.0,340048.0,337808.0,339920.0
Left-Hippocampus,62356.0,62356.0,62543.0,62730.0
Left-Amygdala,28458.0,28458.0,28278.0,28494.0
Left-Accumbens-area,15782.0,15782.0,15834.0,15964.0
Right-Thalamus-Proper,370734.0,370734.0,371616.0,371763.0
Right-Caudate,176800.0,176800.0,177850.0,178700.0
Right-Putamen,269484.0,269484.0,269433.0,270096.0
Right-Pallidum,95992.0,95992.0,95212.0,95212.0
Right-Hippocampus,199969.0,199969.0,200022.0,198750.0
Right-Amygdala,73548.0,73548.0,76410.0,75438.0
Right-Accumbens-area,30624.0,30624.0,24302.0,21344.0
