label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,105650.0,105650.0,105650.0,105670.0
Left-Caudate,47157.0,47157.0,47157.0,46981.0
Left-Putamen,80484.0,80484.0,80484.0,81012.0
Left-Pallidum,30888.0,30888.0,30888.0,30836.0
Brain-Stem,454896.0,454896.0,454928.0,451120.0
Left-Hippocampus,80920.0,80920.0,80920.0,80971.0
Left-Amygdala,36468.0,36468.0,36468.0,36450.0
Left-Accumbens-area,16952.0,16952.0,16952.0,16718.0
Right-Thalamus-Proper,505582.0,505582.0,505582.0,505582.0
Right-Caudate,213150.0,213150.0,213150.0,212400.0
Right-Putamen,310539.0,310539.0,310539.0,313395.0
Right-Pallidum,108420.0,108420.0,108420.0,109564.0
Right-Hippocampus,244065.0,244065.0,244065.0,242369.0
Right-Amygdala,108270.0,108270.0,108270.0,106326.0
Right-Accumbens-area,38686.0,38686.0,38686.0,37120.0
