label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,75630.0,75630.0,75870.0,75980.0
Left-Caudate,31449.0,31449.0,31482.0,31075.0
Left-Putamen,56112.0,56112.0,56376.0,56652.0
Left-Pallidum,24752.0,24752.0,24791.0,24635.0
Brain-Stem,346208.0,346208.0,346848.0,342192.0
Left-Hippocampus,68000.0,68000.0,68476.0,68544.0
Left-Amygdala,26784.0,26784.0,26964.0,27108.0
Left-Accumbens-area,12662.0,12662.0,12662.0,13156.0
Right-Thalamus-Proper,369999.0,369999.0,366030.0,366079.0
Right-Caudate,145400.0,145400.0,145600.0,146050.0
Right-Putamen,234447.0,234447.0,238782.0,233835.0
Right-Pallidum,97916.0,97916.0,96512.0,97032.0
Right-Hippocampus,219844.0,219844.0,213325.0,212106.0
Right-Amygdala,93042.0,93042.0,94122.0,93150.0
Right-Accumbens-area,29232.0,29232.0,28536.0,27782.0
