label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,84540.0,84540.0,84560.0,84570.0
Left-Caudate,36784.0,36784.0,36784.0,36828.0
Left-Putamen,55200.0,55200.0,55176.0,55140.0
Left-Pallidum,23556.0,23556.0,23556.0,23556.0
Brain-Stem,346016.0,346016.0,347472.0,341904.0
Left-Hippocampus,65535.0,65535.0,65195.0,65076.0
Left-Amygdala,29250.0,29250.0,29178.0,29556.0
Left-Accumbens-area,13260.0,13260.0,13572.0,13728.0
Right-Thalamus-Proper,397880.0,397880.0,397880.0,397782.0
Right-Caudate,163500.0,163500.0,163050.0,163050.0
Right-Putamen,199716.0,199716.0,202011.0,199512.0
Right-Pallidum,90428.0,90428.0,91416.0,91936.0
Right-Hippocampus,207601.0,207601.0,213431.0,212901.0
Right-Amygdala,92610.0,92610.0,91314.0,91854.0
Right-Accumbens-area,22968.0,22968.0,23200.0,23258.0
