label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,83170.0,83170.0,83170.0,83170.0
Left-Caudate,37763.0,37763.0,37763.0,38456.0
Left-Putamen,56196.0,56196.0,56196.0,56088.0
Left-Pallidum,23257.0,23257.0,23257.0,23205.0
Brain-Stem,363168.0,363168.0,363168.0,358224.0
Left-Hippocampus,66266.0,66266.0,66266.0,66657.0
Left-Amygdala,29628.0,29628.0,29628.0,29628.0
Left-Accumbens-area,13442.0,13442.0,13442.0,13286.0
Right-Thalamus-Proper,398321.0,398321.0,398321.0,398125.0
Right-Caudate,163500.0,163500.0,163500.0,162350.0
Right-Putamen,205734.0,205734.0,205734.0,205173.0
Right-Pallidum,84084.0,84084.0,84084.0,83928.0
Right-Hippocampus,210887.0,210887.0,210887.0,217406.0
Right-Amygdala,91638.0,91638.0,91638.0,90126.0
Right-Accumbens-area,17574.0,17574.0,17574.0,18328.0
