label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,74210.0,74210.0,74210.0,73050.0
Left-Caudate,38456.0,38456.0,38445.0,38665.0
Left-Putamen,52032.0,52032.0,52032.0,52656.0
Left-Pallidum,19656.0,19656.0,19656.0,19838.0
Brain-Stem,295792.0,295792.0,295792.0,297104.0
Left-Hippocampus,62067.0,62067.0,62067.0,61574.0
Left-Amygdala,23382.0,23382.0,23382.0,24822.0
Left-Accumbens-area,10270.0,10270.0,10270.0,9178.0
Right-Thalamus-Proper,362012.0,362012.0,362012.0,362012.0
Right-Caudate,180300.0,180300.0,180300.0,180700.0
Right-Putamen,218790.0,218790.0,218790.0,218739.0
Right-Pallidum,80340.0,80340.0,80340.0,79872.0
Right-Hippocampus,201612.0,201612.0,201612.0,202725.0
Right-Amygdala,73710.0,73710.0,73764.0,72090.0
Right-Accumbens-area,29754.0,29754.0,29754.0,27724.0
