label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,81980.0,81980.0,83970.0,82010.0
Left-Caudate,38643.0,38643.0,38478.0,38588.0
Left-Putamen,59028.0,59028.0,57780.0,58176.0
Left-Pallidum,23881.0,23881.0,23881.0,23907.0
Brain-Stem,386752.0,386752.0,387216.0,387424.0
Left-Hippocampus,55505.0,55505.0,56117.0,54757.0
Left-Amygdala,26712.0,26712.0,26244.0,26496.0
Left-Accumbens-area,15158.0,15158.0,15054.0,14872.0
Right-Thalamus-Proper,391657.0,391657.0,391755.0,391706.0
Right-Caudate,178600.0,178600.0,181650.0,180000.0
Right-Putamen,228939.0,228939.0,230826.0,228378.0
Right-Pallidum,91312.0,91312.0,91416.0,91312.0
Right-Hippocampus,204951.0,204951.0,205481.0,202513.0
Right-Amygdala,84186.0,84186.0,79866.0,81432.0
Right-Accumbens-area,34046.0,34046.0,33234.0,33988.0
