label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,72850.0,72850.0,72820.0,72930.0
Left-Caudate,38973.0,38973.0,38731.0,38962.0
Left-Putamen,62496.0,62496.0,62052.0,62520.0
Left-Pallidum,27066.0,27066.0,27053.0,27092.0
Brain-Stem,319344.0,319344.0,308672.0,314576.0
Left-Hippocampus,59806.0,59806.0,60163.0,59874.0
Left-Amygdala,27810.0,27810.0,27864.0,27792.0
Left-Accumbens-area,11596.0,11596.0,12428.0,11934.0
Right-Thalamus-Proper,348782.0,348782.0,349370.0,348978.0
Right-Caudate,175250.0,175250.0,173050.0,174600.0
Right-Putamen,256530.0,256530.0,258876.0,260763.0
Right-Pallidum,93756.0,93756.0,94068.0,94172.0
Right-Hippocampus,194033.0,194033.0,192284.0,196100.0
Right-Amygdala,72468.0,72468.0,71388.0,73872.0
Right-Accumbens-area,19546.0,19546.0,20938.0,18560.0
