label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,88890.0,88890.0,88890.0,87480.0
Left-Caudate,43582.0,43582.0,43582.0,43340.0
Left-Putamen,69840.0,69840.0,69840.0,70056.0
Left-Pallidum,22763.0,22763.0,22763.0,23608.0
Brain-Stem,373648.0,373648.0,373696.0,371184.0
Left-Hippocampus,68000.0,68000.0,68000.0,67694.0
Left-Amygdala,34596.0,34596.0,34596.0,34398.0
Left-Accumbens-area,14300.0,14300.0,14300.0,14222.0
Right-Thalamus-Proper,405867.0,405867.0,405867.0,407190.0
Right-Caudate,187550.0,187550.0,187550.0,188050.0
Right-Putamen,297381.0,297381.0,297381.0,300900.0
Right-Pallidum,96980.0,96980.0,96980.0,96720.0
Right-Hippocampus,197743.0,197743.0,197743.0,199757.0
Right-Amygdala,95094.0,95094.0,95094.0,96336.0
Right-Accumbens-area,22446.0,22446.0,22446.0,22736.0
