label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,89710.0,89710.0,89750.0,89830.0
Left-Caudate,34804.0,34804.0,35024.0,34804.0
Left-Putamen,65388.0,65388.0,65352.0,64968.0
Left-Pallidum,26299.0,26299.0,26247.0,26286.0
Brain-Stem,374496.0,374496.0,380688.0,372880.0
Left-Hippocampus,63274.0,63274.0,63274.0,62050.0
Left-Amygdala,27540.0,27540.0,27666.0,27342.0
Left-Accumbens-area,14690.0,14690.0,14586.0,14768.0
Right-Thalamus-Proper,434973.0,434973.0,435169.0,435071.0
Right-Caudate,159950.0,159950.0,159600.0,159650.0
Right-Putamen,280449.0,280449.0,280245.0,280194.0
Right-Pallidum,106912.0,106912.0,106652.0,106600.0
Right-Hippocampus,204898.0,204898.0,206700.0,205640.0
Right-Amygdala,82512.0,82512.0,83376.0,81486.0
Right-Accumbens-area,29348.0,29348.0,30624.0,29986.0
