label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,68350.0,68350.0,68540.0,68420.0
Left-Caudate,35321.0,35321.0,35134.0,35310.0
Left-Putamen,61056.0,61056.0,59016.0,58392.0
Left-Pallidum,21112.0,21112.0,21281.0,21359.0
Brain-Stem,290672.0,290672.0,290976.0,291568.0
Left-Hippocampus,48994.0,48994.0,49283.0,49402.0
Left-Amygdala,25218.0,25218.0,25416.0,26010.0
Left-Accumbens-area,12402.0,12402.0,12766.0,12688.0
Right-Thalamus-Proper,333837.0,333837.0,333935.0,333886.0
Right-Caudate,153550.0,153550.0,153500.0,154100.0
Right-Putamen,240159.0,240159.0,239088.0,238578.0
Right-Pallidum,79508.0,79508.0,79404.0,79404.0
Right-Hippocampus,156615.0,156615.0,157410.0,155608.0
Right-Amygdala,74304.0,74304.0,73170.0,74034.0
Right-Accumbens-area,23838.0,23838.0,22910.0,22910.0
