label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,76580.0,76580.0,76610.0,76720.0
Left-Caudate,40293.0,40293.0,40040.0,40337.0
Left-Putamen,57936.0,57936.0,60732.0,57732.0
Left-Pallidum,21775.0,21775.0,21736.0,22269.0
Brain-Stem,320304.0,320304.0,320336.0,316704.0
Left-Hippocampus,72437.0,72437.0,72709.0,72641.0
Left-Amygdala,23526.0,23526.0,23526.0,23562.0
Left-Accumbens-area,12480.0,12480.0,11986.0,12064.0
Right-Thalamus-Proper,360934.0,360934.0,360983.0,360101.0
Right-Caudate,184050.0,184050.0,184200.0,183050.0
Right-Putamen,259080.0,259080.0,257193.0,257295.0
Right-Pallidum,86320.0,86320.0,86268.0,87932.0
Right-Hippocampus,221964.0,221964.0,223607.0,220957.0
Right-Amygdala,70848.0,70848.0,69822.0,69390.0
Right-Accumbens-area,22968.0,22968.0,22214.0,22736.0
