label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,79390.0,79390.0,79390.0,79420.0
Left-Caudate,33374.0,33374.0,33011.0,33484.0
Left-Putamen,60012.0,60012.0,59472.0,59688.0
Left-Pallidum,23790.0,23790.0,24271.0,23660.0
Brain-Stem,345056.0,345056.0,346128.0,346336.0
Left-Hippocampus,65076.0,65076.0,64940.0,64923.0
Left-Amygdala,24552.0,24552.0,24786.0,24642.0
Left-Accumbens-area,11960.0,11960.0,11622.0,11830.0
Right-Thalamus-Proper,380828.0,380877.0,380142.0,379897.0
Right-Caudate,169650.0,169650.0,169600.0,171150.0
Right-Putamen,240516.0,240516.0,246177.0,242505.0
Right-Pallidum,92508.0,92508.0,93444.0,93028.0
Right-Hippocampus,201771.0,201506.0,201983.0,199704.0
Right-Amygdala,71712.0,71658.0,73332.0,72576.0
Right-Accumbens-area,38744.0,38744.0,39092.0,39092.0
