label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,81840.0,81840.0,81860.0,81820.0
Left-Caudate,41613.0,41613.0,41778.0,41613.0
Left-Putamen,55836.0,55836.0,55536.0,55848.0
Left-Pallidum,21853.0,21853.0,21775.0,21853.0
Brain-Stem,326080.0,326080.0,325440.0,321952.0
Left-Hippocampus,68850.0,68850.0,68680.0,68578.0
Left-Amygdala,27936.0,27936.0,27900.0,28026.0
Left-Accumbens-area,11778.0,11778.0,12532.0,11882.0
Right-Thalamus-Proper,375291.0,375291.0,375389.0,375340.0
Right-Caudate,188350.0,188350.0,188500.0,188250.0
Right-Putamen,245208.0,245208.0,244086.0,243321.0
Right-Pallidum,87256.0,87256.0,88140.0,87100.0
Right-Hippocampus,207442.0,207442.0,207601.0,205004.0
Right-Amygdala,84672.0,84672.0,83916.0,84024.0
Right-Accumbens-area,27782.0,27782.0,27260.0,27144.0
