label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,76400.0,76400.0,76450.0,76000.0
Left-Caudate,42856.0,42856.0,41503.0,43912.0
Left-Putamen,76548.0,76548.0,77808.0,77388.0
Left-Pallidum,27690.0,27690.0,27586.0,27820.0
Brain-Stem,364800.0,364800.0,365408.0,365024.0
Left-Hippocampus,63801.0,63801.0,62356.0,63257.0
Left-Amygdala,30240.0,30240.0,30006.0,29430.0
Left-Accumbens-area,12896.0,12896.0,15990.0,12038.0
Right-Thalamus-Proper,377692.0,377692.0,377839.0,377300.0
Right-Caudate,188450.0,188450.0,186950.0,189400.0
Right-Putamen,314772.0,314772.0,315129.0,312885.0
Right-Pallidum,101140.0,101140.0,100880.0,92872.0
Right-Hippocampus,214862.0,214862.0,216664.0,217883.0
Right-Amygdala,98388.0,98388.0,100170.0,97200.0
Right-Accumbens-area,20184.0,20184.0,18966.0,21228.0
