label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,74630.0,74630.0,74630.0,74620.0
Left-Caudate,35970.0,35970.0,35838.0,35871.0
Left-Putamen,63276.0,63276.0,65064.0,63972.0
Left-Pallidum,22581.0,22581.0,22750.0,22659.0
Brain-Stem,331184.0,331184.0,346192.0,334720.0
Left-Hippocampus,61642.0,61642.0,63291.0,63308.0
Left-Amygdala,22284.0,22284.0,21744.0,21060.0
Left-Accumbens-area,9646.0,9646.0,9048.0,9282.0
Right-Thalamus-Proper,374213.0,374213.0,373968.0,374605.0
Right-Caudate,153500.0,153500.0,153300.0,153100.0
Right-Putamen,263619.0,263619.0,267699.0,266475.0
Right-Pallidum,89856.0,89856.0,89752.0,90012.0
Right-Hippocampus,205110.0,205110.0,209244.0,205534.0
Right-Amygdala,78084.0,78084.0,78246.0,81540.0
Right-Accumbens-area,24940.0,24940.0,24186.0,24186.0
