label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,80200.0,80200.0,80170.0,80300.0
Left-Caudate,33385.0,33385.0,33231.0,33418.0
Left-Putamen,60900.0,60900.0,61584.0,60132.0
Left-Pallidum,22854.0,22854.0,22880.0,22867.0
Brain-Stem,338960.0,338960.0,340208.0,339520.0
Left-Hippocampus,61540.0,61540.0,61591.0,62458.0
Left-Amygdala,23202.0,23202.0,23130.0,22932.0
Left-Accumbens-area,9984.0,9984.0,9776.0,8944.0
Right-Thalamus-Proper,382151.0,382151.0,382053.0,380583.0
Right-Caudate,166650.0,166650.0,166900.0,165250.0
Right-Putamen,249543.0,249543.0,248115.0,256632.0
Right-Pallidum,92092.0,92092.0,91572.0,92300.0
Right-Hippocampus,194192.0,194192.0,195146.0,193344.0
Right-Amygdala,69930.0,69930.0,69660.0,69606.0
Right-Accumbens-area,38512.0,38512.0,38222.0,37758.0
