label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,89100.0,89100.0,89100.0,89060.0
Left-Caudate,37136.0,37136.0,37136.0,36993.0
Left-Putamen,71064.0,71064.0,71064.0,73380.0
Left-Pallidum,27976.0,27976.0,27976.0,27573.0
Brain-Stem,425088.0,425088.0,425088.0,423040.0
Left-Hippocampus,75990.0,75990.0,75990.0,75735.0
Left-Amygdala,27450.0,27450.0,27450.0,27432.0
Left-Accumbens-area,15132.0,15132.0,15132.0,14014.0
Right-Thalamus-Proper,433895.0,433895.0,433895.0,431641.0
Right-Caudate,184850.0,184850.0,184850.0,184350.0
Right-Putamen,288048.0,288048.0,288048.0,281928.0
Right-Pallidum,108888.0,108888.0,108888.0,106288.0
Right-Hippocampus,248040.0,248040.0,248040.0,248782.0
Right-Amygdala,100170.0,100170.0,100170.0,99360.0
Right-Accumbens-area,25462.0,25462.0,25462.0,26680.0
