label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,88700.0,88700.0,88520.0,88380.0
Left-Caudate,36927.0,36927.0,36916.0,36927.0
Left-Putamen,73656.0,73656.0,72096.0,74160.0
Left-Pallidum,26949.0,26949.0,27157.0,27001.0
Brain-Stem,413616.0,413616.0,412032.0,414448.0
Left-Hippocampus,74936.0,74936.0,75480.0,74409.0
Left-Amygdala,31194.0,31194.0,30924.0,30672.0
Left-Accumbens-area,17134.0,17134.0,16718.0,17290.0
Right-Thalamus-Proper,427084.0,427084.0,427280.0,431984.0
Right-Caudate,176400.0,176400.0,176800.0,175600.0
Right-Putamen,285600.0,285600.0,286518.0,285651.0
Right-Pallidum,112632.0,112632.0,112112.0,113568.0
Right-Hippocampus,254718.0,254771.0,252015.0,254612.0
Right-Amygdala,90072.0,90396.0,89154.0,90504.0
Right-Accumbens-area,25172.0,25172.0,28014.0,27956.0
