label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,77910.0,77910.0,77910.0,77800.0
Left-Caudate,40326.0,40326.0,40359.0,40381.0
Left-Putamen,50688.0,50688.0,50688.0,51300.0
Left-Pallidum,21359.0,21359.0,21359.0,21424.0
Brain-Stem,318688.0,318688.0,318688.0,317984.0
Left-Hippocampus,61421.0,61421.0,61421.0,61846.0
Left-Amygdala,29718.0,29718.0,29718.0,30204.0
Left-Accumbens-area,9776.0,9776.0,9776.0,10114.0
Right-Thalamus-Proper,361620.0,361620.0,361620.0,360150.0
Right-Caudate,173300.0,173300.0,173300.0,173750.0
Right-Putamen,213690.0,213690.0,213690.0,213894.0
Right-Pallidum,85436.0,85436.0,85436.0,85644.0
Right-Hippocampus,170501.0,170501.0,170501.0,170130.0
Right-Amygdala,70308.0,70308.0,70308.0,68310.0
Right-Accumbens-area,24940.0,24940.0,24940.0,25520.0
