label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,73810.0,73810.0,73560.0,73430.0
Left-Caudate,36047.0,36047.0,36135.0,36102.0
Left-Putamen,54948.0,54948.0,55284.0,56796.0
Left-Pallidum,23231.0,23231.0,23270.0,23114.0
Brain-Stem,324272.0,324272.0,321232.0,322224.0
Left-Hippocampus,63563.0,63563.0,63563.0,63478.0
Left-Amygdala,24696.0,24696.0,24660.0,24642.0
Left-Accumbens-area,10218.0,10218.0,10348.0,9932.0
Right-Thalamus-Proper,345842.0,345842.0,347606.0,344813.0
Right-Caudate,164600.0,164600.0,164850.0,164250.0
Right-Putamen,247605.0,247605.0,243321.0,245055.0
Right-Pallidum,90844.0,90844.0,91260.0,91468.0
Right-Hippocampus,185500.0,185500.0,179511.0,186984.0
Right-Amygdala,79164.0,79164.0,79002.0,77922.0
Right-Accumbens-area,23664.0,23664.0,21692.0,22910.0
