label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,89260.0,89260.0,89260.0,88120.0
Left-Caudate,38511.0,38511.0,38511.0,38423.0
Left-Putamen,62700.0,62700.0,62700.0,62832.0
Left-Pallidum,22438.0,22438.0,22438.0,22282.0
Brain-Stem,363312.0,363312.0,363312.0,356112.0
Left-Hippocampus,73423.0,73423.0,73423.0,73984.0
Left-Amygdala,30240.0,30240.0,30240.0,30276.0
Left-Accumbens-area,14456.0,14456.0,14456.0,14768.0
Right-Thalamus-Proper,426398.0,426398.0,426398.0,430171.0
Right-Caudate,180150.0,180150.0,180150.0,180500.0
Right-Putamen,262242.0,262242.0,262242.0,260610.0
Right-Pallidum,93652.0,93652.0,93652.0,93288.0
Right-Hippocampus,214544.0,214544.0,214544.0,218360.0
Right-Amygdala,95040.0,95040.0,95040.0,94824.0
Right-Accumbens-area,30218.0,30218.0,30218.0,30218.0
