label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,74010.0,74010.0,74010.0,73960.0
Left-Caudate,30338.0,30338.0,30338.0,30470.0
Left-Putamen,45744.0,45744.0,45744.0,45084.0
Left-Pallidum,18980.0,18980.0,18980.0,18954.0
Brain-Stem,344144.0,344144.0,344112.0,344960.0
Left-Hippocampus,67643.0,67643.0,67643.0,67439.0
Left-Amygdala,24408.0,24408.0,24408.0,24336.0
Left-Accumbens-area,11050.0,11050.0,11050.0,10764.0
Right-Thalamus-Proper,347802.0,347802.0,347802.0,348194.0
Right-Caudate,146200.0,146200.0,146200.0,145550.0
Right-Putamen,190026.0,190026.0,190026.0,186252.0
Right-Pallidum,80912.0,80912.0,80912.0,81224.0
Right-Hippocampus,204315.0,204315.0,204315.0,204792.0
Right-Amygdala,92934.0,92934.0,92934.0,93258.0
Right-Accumbens-area,21460.0,21460.0,21460.0,21808.0
