label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,86050.0,86050.0,86050.0,86340.0
Left-Caudate,43758.0,43758.0,43758.0,43692.0
Left-Putamen,69456.0,69456.0,69456.0,69480.0
Left-Pallidum,23660.0,23660.0,23660.0,22048.0
Brain-Stem,359088.0,359088.0,359088.0,356512.0
Left-Hippocampus,66691.0,66691.0,66674.0,67201.0
Left-Amygdala,34182.0,34182.0,34182.0,35334.0
Left-Accumbens-area,14300.0,14300.0,14300.0,14586.0
Right-Thalamus-Proper,409003.0,409003.0,409003.0,406651.0
Right-Caudate,192950.0,192950.0,192950.0,194500.0
Right-Putamen,303960.0,303960.0,303960.0,305898.0
Right-Pallidum,94796.0,94796.0,94796.0,92872.0
Right-Hippocampus,207707.0,207760.0,207707.0,207495.0
Right-Amygdala,87696.0,88722.0,87696.0,90612.0
Right-Accumbens-area,26564.0,26564.0,26564.0,26796.0
