label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,80720.0,80720.0,80670.0,80750.0
Left-Caudate,37037.0,37037.0,37070.0,37048.0
Left-Putamen,66132.0,66132.0,66228.0,66696.0
Left-Pallidum,25753.0,25753.0,25610.0,26676.0
Brain-Stem,336128.0,336128.0,334752.0,335232.0
Left-Hippocampus,72284.0,72284.0,72590.0,72029.0
Left-Amygdala,29952.0,29952.0,29898.0,29736.0
Left-Accumbens-area,14976.0,14976.0,15210.0,15132.0
Right-Thalamus-Proper,368186.0,368186.0,367843.0,368627.0
Right-Caudate,178250.0,178250.0,178250.0,176200.0
Right-Putamen,281826.0,281826.0,265506.0,281112.0
Right-Pallidum,94744.0,94744.0,95784.0,93756.0
Right-Hippocampus,205481.0,205481.0,207177.0,192178.0
Right-Amygdala,78084.0,78084.0,78948.0,79218.0
Right-Accumbens-area,28478.0,28478.0,30566.0,33350.0
