label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,73770.0,73770.0,73230.0,73290.0
Left-Caudate,38335.0,38335.0,38577.0,38093.0
Left-Putamen,60888.0,60888.0,61044.0,61500.0
Left-Pallidum,25662.0,25662.0,25727.0,25818.0
Brain-Stem,305616.0,305616.0,304688.0,304064.0
Left-Hippocampus,59976.0,59976.0,59908.0,60027.0
Left-Amygdala,27576.0,27576.0,27306.0,27216.0
Left-Accumbens-area,12558.0,12558.0,12688.0,12376.0
Right-Thalamus-Proper,348292.0,348292.0,349223.0,348586.0
Right-Caudate,177850.0,177850.0,177150.0,177400.0
Right-Putamen,263058.0,263058.0,260355.0,260202.0
Right-Pallidum,89388.0,89388.0,90168.0,89804.0
Right-Hippocampus,209297.0,209297.0,209138.0,209721.0
Right-Amygdala,77706.0,77706.0,76734.0,77598.0
Right-Accumbens-area,20706.0,20706.0,20764.0,20590.0
