label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,89980.0,89980.0,89720.0,89740.0
Left-Caudate,35871.0,35871.0,35596.0,35596.0
Left-Putamen,66960.0,66960.0,66300.0,66168.0
Left-Pallidum,25883.0,25883.0,26078.0,26286.0
Brain-Stem,387296.0,387296.0,386576.0,386960.0
Left-Hippocampus,63291.0,63291.0,63019.0,63274.0
Left-Amygdala,27162.0,27162.0,27162.0,26640.0
Left-Accumbens-area,15314.0,15314.0,15470.0,14924.0
Right-Thalamus-Proper,435806.0,435806.0,435659.0,436051.0
Right-Caudate,162300.0,162300.0,165250.0,163650.0
Right-Putamen,263109.0,263109.0,263670.0,263568.0
Right-Pallidum,108940.0,108940.0,108732.0,108784.0
Right-Hippocampus,206276.0,206276.0,206382.0,208343.0
Right-Amygdala,84348.0,84348.0,83322.0,83106.0
Right-Accumbens-area,27840.0,27840.0,27202.0,26158.0
