label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,74770.0,74770.0,74720.0,74640.0
Left-Caudate,35827.0,35827.0,35860.0,35486.0
Left-Putamen,64128.0,64128.0,63168.0,63876.0
Left-Pallidum,23582.0,23582.0,23322.0,23504.0
Brain-Stem,337184.0,337184.0,338064.0,337360.0
Left-Hippocampus,63835.0,63835.0,63512.0,63920.0
Left-Amygdala,23508.0,23508.0,23562.0,23400.0
Left-Accumbens-area,10140.0,10140.0,10192.0,10140.0
Right-Thalamus-Proper,365589.0,365589.0,364903.0,366961.0
Right-Caudate,150700.0,150700.0,150700.0,150100.0
Right-Putamen,271218.0,271218.0,272340.0,270963.0
Right-Pallidum,91208.0,91208.0,90844.0,91052.0
Right-Hippocampus,209032.0,209032.0,208555.0,208237.0
Right-Amygdala,83322.0,83322.0,83970.0,83430.0
Right-Accumbens-area,26506.0,26506.0,25520.0,26158.0
