label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,107420.0,107420.0,107280.0,107270.0
Left-Caudate,41569.0,41569.0,41228.0,41492.0
Left-Putamen,71436.0,71436.0,71352.0,71796.0
Left-Pallidum,28301.0,28301.0,28314.0,28561.0
Brain-Stem,463056.0,463056.0,474944.0,474352.0
Left-Hippocampus,75395.0,75395.0,75973.0,75735.0
Left-Amygdala,35298.0,35298.0,35352.0,35244.0
Left-Accumbens-area,16406.0,16406.0,18824.0,17732.0
Right-Thalamus-Proper,491911.0,491911.0,492058.0,491862.0
Right-Caudate,174400.0,174400.0,175350.0,175350.0
Right-Putamen,306510.0,306510.0,306510.0,303705.0
Right-Pallidum,106548.0,106548.0,106496.0,106340.0
Right-Hippocampus,251962.0,251962.0,252439.0,252916.0
Right-Amygdala,132570.0,132570.0,132408.0,134244.0
Right-Accumbens-area,31784.0,31784.0,31784.0,30798.0
