label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,75310.0,75310.0,75380.0,74410.0
Left-Caudate,34452.0,34452.0,34518.0,34573.0
Left-Putamen,49092.0,49092.0,48984.0,49032.0
Left-Pallidum,21372.0,21372.0,21333.0,21307.0
Brain-Stem,330816.0,330816.0,331936.0,331760.0
Left-Hippocampus,56253.0,56253.0,57409.0,57596.0
Left-Amygdala,27558.0,27558.0,27468.0,27486.0
Left-Accumbens-area,10140.0,10140.0,10140.0,9672.0
Right-Thalamus-Proper,367157.0,367157.0,367059.0,367402.0
Right-Caudate,163900.0,163900.0,164950.0,163750.0
Right-Putamen,193800.0,193800.0,194463.0,195636.0
Right-Pallidum,83044.0,83044.0,83148.0,85488.0
Right-Hippocampus,196630.0,196630.0,196524.0,195570.0
Right-Amygdala,79758.0,79758.0,80838.0,79110.0
Right-Accumbens-area,11600.0,11600.0,11948.0,11542.0
