label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,87390.0,87390.0,87350.0,87470.0
Left-Caudate,48961.0,48961.0,49027.0,49236.0
Left-Putamen,67224.0,67224.0,65196.0,68676.0
Left-Pallidum,25974.0,25974.0,25649.0,25961.0
Brain-Stem,363648.0,363648.0,368016.0,365968.0
Left-Hippocampus,67184.0,67184.0,67286.0,67201.0
Left-Amygdala,31986.0,31986.0,31680.0,32364.0
Left-Accumbens-area,12558.0,12558.0,12246.0,11674.0
Right-Thalamus-Proper,430808.0,430808.0,430759.0,428064.0
Right-Caudate,206850.0,206850.0,206050.0,206300.0
Right-Putamen,271626.0,271626.0,270912.0,270963.0
Right-Pallidum,103896.0,103896.0,99164.0,103220.0
Right-Hippocampus,240461.0,240461.0,239772.0,238659.0
Right-Amygdala,98226.0,98226.0,94824.0,100764.0
Right-Accumbens-area,29464.0,29464.0,31378.0,31436.0
