label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,68330.0,68330.0,68840.0,68930.0
Left-Caudate,35981.0,35981.0,35992.0,35871.0
Left-Putamen,59964.0,59964.0,59772.0,59976.0
Left-Pallidum,21398.0,21398.0,21216.0,21099.0
Brain-Stem,287824.0,287824.0,288352.0,288400.0
Left-Hippocampus,48943.0,48943.0,48501.0,48790.0
Left-Amygdala,25272.0,25272.0,25884.0,25614.0
Left-Accumbens-area,13312.0,13312.0,13286.0,13364.0
Right-Thalamus-Proper,338982.0,338982.0,337904.0,338100.0
Right-Caudate,155350.0,155350.0,155750.0,155450.0
Right-Putamen,252807.0,252807.0,252909.0,253572.0
Right-Pallidum,77428.0,77428.0,77272.0,77688.0
Right-Hippocampus,162127.0,162127.0,162286.0,161014.0
Right-Amygdala,74088.0,74088.0,74574.0,76140.0
Right-Accumbens-area,24186.0,24186.0,23954.0,24070.0
