label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,89130.0,89130.0,89000.0,87560.0
Left-Caudate,48059.0,48059.0,47993.0,48191.0
Left-Putamen,69324.0,69324.0,70476.0,70920.0
Left-Pallidum,26299.0,26299.0,26130.0,26156.0
Brain-Stem,360624.0,360624.0,360528.0,361360.0
Left-Hippocampus,67830.0,67830.0,67575.0,67405.0
Left-Amygdala,30510.0,30510.0,30618.0,30852.0
Left-Accumbens-area,12012.0,12012.0,12142.0,12168.0
Right-Thalamus-Proper,434336.0,434336.0,434581.0,434287.0
Right-Caudate,203300.0,203300.0,203050.0,204050.0
Right-Putamen,282183.0,282183.0,275094.0,275808.0
Right-Pallidum,101400.0,101400.0,103584.0,103532.0
Right-Hippocampus,229119.0,229119.0,227847.0,226628.0
Right-Amygdala,108972.0,108972.0,108108.0,109188.0
Right-Accumbens-area,23084.0,23084.0,26390.0,26564.0
