label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,84300.0,84300.0,84300.0,83700.0
Left-Caudate,40139.0,40139.0,40139.0,40282.0
Left-Putamen,59880.0,59880.0,59880.0,58572.0
Left-Pallidum,22256.0,22256.0,22256.0,22256.0
Brain-Stem,332368.0,332368.0,332368.0,330576.0
Left-Hippocampus,65960.0,65960.0,65977.0,66402.0
Left-Amygdala,28872.0,28872.0,28872.0,28890.0
Left-Accumbens-area,15418.0,15418.0,15418.0,15366.0
Right-Thalamus-Proper,397390.0,397390.0,397390.0,397586.0
Right-Caudate,189500.0,189500.0,189500.0,189900.0
Right-Putamen,251226.0,251226.0,251226.0,251022.0
Right-Pallidum,92560.0,92560.0,92560.0,92716.0
Right-Hippocampus,216717.0,216717.0,216717.0,214862.0
Right-Amygdala,86346.0,86346.0,86346.0,85104.0
Right-Accumbens-area,24998.0,24998.0,24998.0,24998.0
