label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,83710.0,83710.0,83710.0,83960.0
Left-Caudate,40766.0,40766.0,40766.0,40733.0
Left-Putamen,70080.0,70080.0,70080.0,68676.0
Left-Pallidum,23387.0,23387.0,23387.0,22997.0
Brain-Stem,352848.0,352848.0,352848.0,344960.0
Left-Hippocampus,75055.0,75055.0,75055.0,75310.0
Left-Amygdala,27396.0,27396.0,27396.0,27450.0
Left-Accumbens-area,16900.0,16900.0,16900.0,16692.0
Right-Thalamus-Proper,405279.0,405279.0,405279.0,406455.0
Right-Caudate,189000.0,189000.0,189000.0,189300.0
Right-Putamen,287997.0,287997.0,287997.0,292026.0
Right-Pallidum,87100.0,87100.0,87100.0,85488.0
Right-Hippocampus,240302.0,240302.0,240302.0,249895.0
Right-Amygdala,76950.0,76950.0,76950.0,77382.0
Right-Accumbens-area,36598.0,36598.0,36598.0,38338.0
