label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,84240.0,84240.0,84240.0,84230.0
Left-Caudate,39369.0,39369.0,39677.0,39798.0
Left-Putamen,60636.0,60636.0,60792.0,60780.0
Left-Pallidum,21801.0,21801.0,21814.0,21788.0
Brain-Stem,339792.0,339792.0,340080.0,335248.0
Left-Hippocampus,66266.0,66266.0,66317.0,66589.0
Left-Amygdala,28278.0,28278.0,28026.0,28350.0
Left-Accumbens-area,15834.0,15834.0,16094.0,15782.0
Right-Thalamus-Proper,401163.0,401163.0,401310.0,399889.0
Right-Caudate,185350.0,185350.0,185800.0,186400.0
Right-Putamen,244494.0,244494.0,245004.0,242964.0
Right-Pallidum,86372.0,86372.0,88608.0,86268.0
Right-Hippocampus,222918.0,222918.0,221752.0,221434.0
Right-Amygdala,81702.0,81702.0,82242.0,81594.0
Right-Accumbens-area,27376.0,27376.0,27028.0,26158.0
