label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,73440.0,73440.0,73440.0,73330.0
Left-Caudate,34122.0,34122.0,34122.0,34210.0
Left-Putamen,49380.0,49380.0,49380.0,48744.0
Left-Pallidum,21307.0,21307.0,21307.0,21450.0
Brain-Stem,330416.0,330416.0,330416.0,330320.0
Left-Hippocampus,58361.0,58361.0,58361.0,57681.0
Left-Amygdala,29322.0,29322.0,29322.0,28746.0
Left-Accumbens-area,9854.0,9854.0,9854.0,9204.0
Right-Thalamus-Proper,364021.0,364021.0,364021.0,369705.0
Right-Caudate,169300.0,169300.0,169300.0,168200.0
Right-Putamen,187680.0,187680.0,187680.0,186762.0
Right-Pallidum,85644.0,85644.0,85644.0,85956.0
Right-Hippocampus,197637.0,197637.0,197637.0,200022.0
Right-Amygdala,85752.0,85752.0,85752.0,82944.0
Right-Accumbens-area,13630.0,13630.0,13630.0,13398.0
