label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,43890.0,43890.0,43790.0,43840.0
Left-Caudate,20988.0,20988.0,21021.0,21021.0
Left-Putamen,28716.0,28716.0,28440.0,28620.0
Left-Pallidum,12298.0,12298.0,12298.0,12259.0
Brain-Stem,183424.0,183424.0,182288.0,181680.0
Left-Hippocampus,33116.0,33116.0,33252.0,32997.0
Left-Amygdala,13680.0,13680.0,14634.0,13698.0
Left-Accumbens-area,10660.0,10660.0,10712.0,10686.0
Right-Thalamus-Proper,205555.0,205555.0,206290.0,205555.0
Right-Caudate,98050.0,98050.0,98000.0,97900.0
Right-Putamen,143820.0,143820.0,143667.0,141780.0
Right-Pallidum,45448.0,45448.0,45552.0,45448.0
Right-Hippocampus,104251.0,104357.0,105523.0,105735.0
Right-Amygdala,45900.0,46008.0,45954.0,45360.0
Right-Accumbens-area,15022.0,15022.0,15022.0,15196.0
