label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,77150.0,77150.0,76820.0,77430.0
Left-Caudate,39963.0,39963.0,40128.0,39919.0
Left-Putamen,50160.0,50160.0,49980.0,49716.0
Left-Pallidum,21216.0,21216.0,21437.0,21333.0
Brain-Stem,316608.0,316608.0,319216.0,319824.0
Left-Hippocampus,62560.0,62560.0,62713.0,62390.0
Left-Amygdala,29286.0,29286.0,29070.0,29268.0
Left-Accumbens-area,10010.0,10010.0,10322.0,10764.0
Right-Thalamus-Proper,364315.0,364315.0,362992.0,363874.0
Right-Caudate,174800.0,174800.0,175400.0,173700.0
Right-Putamen,213690.0,213690.0,212670.0,214863.0
Right-Pallidum,84032.0,84032.0,84760.0,85020.0
Right-Hippocampus,169600.0,169600.0,169017.0,169547.0
Right-Amygdala,61398.0,61398.0,63936.0,61506.0
Right-Accumbens-area,25230.0,25230.0,26158.0,25810.0
