label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,88240.0,88240.0,88240.0,88140.0
Left-Caudate,37279.0,37279.0,37312.0,37257.0
Left-Putamen,71412.0,71412.0,72840.0,71208.0
Left-Pallidum,27443.0,27443.0,27196.0,27352.0
Brain-Stem,426512.0,426512.0,432928.0,426352.0
Left-Hippocampus,79526.0,79526.0,79203.0,79747.0
Left-Amygdala,24138.0,24138.0,24120.0,24804.0
Left-Accumbens-area,13884.0,13884.0,14508.0,13936.0
Right-Thalamus-Proper,427672.0,427672.0,427329.0,427623.0
Right-Caudate,172550.0,172550.0,170300.0,170850.0
Right-Putamen,293301.0,293301.0,287130.0,288813.0
Right-Pallidum,114608.0,114608.0,107016.0,113776.0
Right-Hippocampus,244701.0,244701.0,246079.0,245549.0
Right-Amygdala,94230.0,94230.0,94716.0,93474.0
Right-Accumbens-area,26854.0,26854.0,28130.0,27550.0
