label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,74590.0,74590.0,74760.0,74740.0
Left-Caudate,33616.0,33616.0,33440.0,33682.0
Left-Putamen,48948.0,48948.0,48984.0,49752.0
Left-Pallidum,21151.0,21151.0,21138.0,21125.0
Brain-Stem,327184.0,327184.0,328576.0,327024.0
Left-Hippocampus,59228.0,59228.0,58633.0,58599.0
Left-Amygdala,28512.0,28512.0,28494.0,28638.0
Left-Accumbens-area,10218.0,10218.0,10296.0,10192.0
Right-Thalamus-Proper,368284.0,368284.0,368333.0,368333.0
Right-Caudate,167600.0,167600.0,168650.0,168400.0
Right-Putamen,191505.0,191505.0,191913.0,192372.0
Right-Pallidum,81484.0,81484.0,81588.0,81484.0
Right-Hippocampus,177762.0,177762.0,182532.0,181631.0
Right-Amygdala,80892.0,80892.0,80082.0,81324.0
Right-Accumbens-area,15022.0,15022.0,15602.0,13804.0
