label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,76300.0,76300.0,76510.0,75680.0
Left-Caudate,32901.0,32901.0,32725.0,33011.0
Left-Putamen,56472.0,56472.0,56580.0,56364.0
Left-Pallidum,24258.0,24258.0,24232.0,24609.0
Brain-Stem,344608.0,344608.0,345344.0,348944.0
Left-Hippocampus,68289.0,68289.0,68255.0,68306.0
Left-Amygdala,26028.0,26028.0,25992.0,25812.0
Left-Accumbens-area,13156.0,13156.0,12896.0,12974.0
Right-Thalamus-Proper,367745.0,367745.0,376173.0,362502.0
Right-Caudate,146000.0,146000.0,146400.0,147650.0
Right-Putamen,227154.0,227154.0,232050.0,229500.0
Right-Pallidum,98332.0,98332.0,95888.0,97344.0
Right-Hippocampus,220851.0,220851.0,220480.0,221010.0
Right-Amygdala,90504.0,90504.0,86022.0,82134.0
Right-Accumbens-area,27666.0,27666.0,27202.0,27492.0
