label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,87970.0,87970.0,88030.0,87890.0
Left-Caudate,35695.0,35695.0,35783.0,35684.0
Left-Putamen,68796.0,68796.0,67188.0,67488.0
Left-Pallidum,27326.0,27326.0,27326.0,27274.0
Brain-Stem,422960.0,422960.0,427024.0,421136.0
Left-Hippocampus,75412.0,75412.0,75361.0,74851.0
Left-Amygdala,24642.0,24642.0,24912.0,24966.0
Left-Accumbens-area,19578.0,19578.0,19032.0,19162.0
Right-Thalamus-Proper,419783.0,419783.0,418460.0,417039.0
Right-Caudate,174800.0,174800.0,173700.0,173850.0
Right-Putamen,293658.0,293658.0,293250.0,293301.0
Right-Pallidum,113724.0,113724.0,113776.0,113464.0
Right-Hippocampus,244065.0,244065.0,244330.0,243747.0
Right-Amygdala,92232.0,92232.0,94554.0,92340.0
Right-Accumbens-area,28942.0,28942.0,29580.0,29522.0
