label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,87820.0,87820.0,87820.0,87850.0
Left-Caudate,37884.0,37884.0,37884.0,37796.0
Left-Putamen,60672.0,60672.0,60672.0,60480.0
Left-Pallidum,23699.0,23699.0,23699.0,23725.0
Brain-Stem,351296.0,351296.0,351296.0,355104.0
Left-Hippocampus,74885.0,74885.0,74885.0,75395.0
Left-Amygdala,28368.0,28368.0,28368.0,28728.0
Left-Accumbens-area,13806.0,13806.0,13806.0,14326.0
Right-Thalamus-Proper,435316.0,435316.0,435316.0,435316.0
Right-Caudate,179750.0,179750.0,179800.0,180050.0
Right-Putamen,258570.0,258570.0,258570.0,261987.0
Right-Pallidum,96616.0,96616.0,96616.0,97500.0
Right-Hippocampus,217777.0,217777.0,217777.0,215922.0
Right-Amygdala,98604.0,98604.0,98604.0,98010.0
Right-Accumbens-area,27724.0,27724.0,27724.0,26796.0
