label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,79070.0,79070.0,78840.0,78780.0
Left-Caudate,34683.0,34683.0,34562.0,34474.0
Left-Putamen,58608.0,58608.0,59844.0,59820.0
Left-Pallidum,22022.0,22022.0,22308.0,22503.0
Brain-Stem,325872.0,325872.0,327536.0,328832.0
Left-Hippocampus,62050.0,62050.0,61880.0,62373.0
Left-Amygdala,24624.0,24624.0,24714.0,24588.0
Left-Accumbens-area,10088.0,10088.0,10166.0,10608.0
Right-Thalamus-Proper,392098.0,392098.0,389501.0,388129.0
Right-Caudate,173050.0,173050.0,174100.0,174600.0
Right-Putamen,251277.0,251277.0,251583.0,253062.0
Right-Pallidum,86996.0,86996.0,89076.0,89440.0
Right-Hippocampus,189793.0,189793.0,191701.0,192496.0
Right-Amygdala,74412.0,74412.0,70794.0,71658.0
Right-Accumbens-area,34046.0,34046.0,32480.0,32712.0
