label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,73130.0,73130.0,73390.0,73400.0
Left-Caudate,31713.0,31713.0,31427.0,31669.0
Left-Putamen,48216.0,48216.0,48312.0,48480.0
Left-Pallidum,18512.0,18512.0,18499.0,18538.0
Brain-Stem,340912.0,340912.0,338480.0,338512.0
Left-Hippocampus,68340.0,68340.0,68986.0,68425.0
Left-Amygdala,24714.0,24714.0,24570.0,25056.0
Left-Accumbens-area,9776.0,9776.0,9724.0,9750.0
Right-Thalamus-Proper,354221.0,354221.0,351820.0,350399.0
Right-Caudate,149750.0,149750.0,148500.0,150250.0
Right-Putamen,204459.0,204459.0,199869.0,186915.0
Right-Pallidum,78468.0,78468.0,78468.0,81744.0
Right-Hippocampus,203361.0,203361.0,202672.0,203573.0
Right-Amygdala,90666.0,90666.0,89586.0,88020.0
Right-Accumbens-area,22330.0,22330.0,22678.0,20938.0
