label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,105410.0,105410.0,105630.0,105440.0
Left-Caudate,40942.0,40942.0,40931.0,40931.0
Left-Putamen,72564.0,72564.0,72168.0,72444.0
Left-Pallidum,28379.0,28379.0,27001.0,27144.0
Brain-Stem,456384.0,456384.0,456896.0,454640.0
Left-Hippocampus,78319.0,78319.0,78812.0,79169.0
Left-Amygdala,35370.0,35370.0,35586.0,34470.0
Left-Accumbens-area,16900.0,16900.0,17368.0,17160.0
Right-Thalamus-Proper,493675.0,493675.0,497889.0,493430.0
Right-Caudate,178300.0,178300.0,179250.0,179450.0
Right-Putamen,299625.0,299625.0,299523.0,300543.0
Right-Pallidum,106808.0,106808.0,106340.0,106912.0
Right-Hippocampus,245867.0,245867.0,242581.0,246662.0
Right-Amygdala,120582.0,120582.0,126360.0,120636.0
Right-Accumbens-area,20474.0,20474.0,23780.0,21228.0
