label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,84150.0,84150.0,84110.0,84090.0
Left-Caudate,40161.0,40161.0,40106.0,40150.0
Left-Putamen,60120.0,60120.0,60744.0,60792.0
Left-Pallidum,22178.0,22178.0,22165.0,22165.0
Brain-Stem,336928.0,336928.0,335824.0,334864.0
Left-Hippocampus,69666.0,69666.0,70227.0,70040.0
Left-Amygdala,27108.0,27108.0,26424.0,26784.0
Left-Accumbens-area,16068.0,16068.0,16224.0,15366.0
Right-Thalamus-Proper,398958.0,398958.0,398860.0,398909.0
Right-Caudate,188050.0,188050.0,188250.0,187700.0
Right-Putamen,248166.0,248166.0,247911.0,247299.0
Right-Pallidum,90480.0,90480.0,90792.0,90896.0
Right-Hippocampus,209350.0,209350.0,208608.0,208714.0
Right-Amygdala,88668.0,88668.0,90234.0,87858.0
Right-Accumbens-area,25636.0,25636.0,26042.0,26622.0
