label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,89380.0,89380.0,89350.0,89480.0
Left-Caudate,36322.0,36322.0,36388.0,36366.0
Left-Putamen,68196.0,68196.0,67596.0,68064.0
Left-Pallidum,26429.0,26429.0,26546.0,26611.0
Brain-Stem,393104.0,393104.0,393184.0,393104.0
Left-Hippocampus,63240.0,63240.0,63869.0,63563.0
Left-Amygdala,27054.0,27054.0,27558.0,27252.0
Left-Accumbens-area,14638.0,14638.0,13884.0,14326.0
Right-Thalamus-Proper,437374.0,437374.0,436982.0,437570.0
Right-Caudate,158950.0,158950.0,159000.0,159600.0
Right-Putamen,267189.0,267189.0,265863.0,265404.0
Right-Pallidum,103220.0,103220.0,103792.0,101036.0
Right-Hippocampus,202301.0,202301.0,204474.0,204156.0
Right-Amygdala,86940.0,86940.0,87102.0,88344.0
Right-Accumbens-area,24998.0,24998.0,25462.0,24940.0
