label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,83990.0,83990.0,84200.0,83820.0
Left-Caudate,38929.0,38929.0,39039.0,38984.0
Left-Putamen,61632.0,61632.0,62100.0,61260.0
Left-Pallidum,22152.0,22152.0,22360.0,22178.0
Brain-Stem,339664.0,339664.0,338768.0,338336.0
Left-Hippocampus,66963.0,66963.0,67371.0,66997.0
Left-Amygdala,27612.0,27612.0,27504.0,27378.0
Left-Accumbens-area,14482.0,14482.0,15912.0,15236.0
Right-Thalamus-Proper,394205.0,394205.0,393176.0,390383.0
Right-Caudate,179350.0,179350.0,179350.0,179300.0
Right-Putamen,245106.0,245106.0,242607.0,244392.0
Right-Pallidum,90168.0,90168.0,90740.0,89960.0
Right-Hippocampus,216187.0,216187.0,213325.0,215604.0
Right-Amygdala,84348.0,84348.0,85374.0,84186.0
Right-Accumbens-area,27086.0,27086.0,27434.0,27202.0
