label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,83500.0,83500.0,83520.0,83600.0
Left-Caudate,38181.0,38181.0,37950.0,38225.0
Left-Putamen,58488.0,58488.0,58344.0,58764.0
Left-Pallidum,23933.0,23933.0,24063.0,24037.0
Brain-Stem,369520.0,369520.0,369152.0,369168.0
Left-Hippocampus,58701.0,58701.0,58701.0,58089.0
Left-Amygdala,28422.0,28422.0,29484.0,29214.0
Left-Accumbens-area,16302.0,16302.0,15704.0,15600.0
Right-Thalamus-Proper,391363.0,391363.0,391216.0,391069.0
Right-Caudate,184950.0,184950.0,185900.0,184650.0
Right-Putamen,228174.0,228174.0,228684.0,228582.0
Right-Pallidum,92820.0,92820.0,92352.0,92352.0
Right-Hippocampus,205534.0,205534.0,206223.0,207548.0
Right-Amygdala,75492.0,75492.0,75006.0,70902.0
Right-Accumbens-area,29928.0,29928.0,30392.0,30160.0
