label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,105760.0,105760.0,105770.0,106050.0
Left-Caudate,40557.0,40557.0,40392.0,40128.0
Left-Putamen,71412.0,71412.0,71448.0,71256.0
Left-Pallidum,28054.0,28054.0,28262.0,28275.0
Brain-Stem,463664.0,463664.0,471392.0,466064.0
Left-Hippocampus,78999.0,78999.0,80087.0,79152.0
Left-Amygdala,34200.0,34200.0,33786.0,33912.0
Left-Accumbens-area,20046.0,20046.0,21502.0,20748.0
Right-Thalamus-Proper,492254.0,492254.0,492450.0,494214.0
Right-Caudate,176600.0,176600.0,175250.0,175100.0
Right-Putamen,296412.0,296412.0,295494.0,297585.0
Right-Pallidum,103532.0,103532.0,104208.0,103272.0
Right-Hippocampus,248994.0,248994.0,246715.0,246397.0
Right-Amygdala,134352.0,134352.0,136836.0,133758.0
Right-Accumbens-area,33234.0,33234.0,26158.0,36424.0
