label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,82290.0,82290.0,82180.0,82330.0
Left-Caudate,39952.0,39952.0,39941.0,39600.0
Left-Putamen,66960.0,66960.0,66396.0,67020.0
Left-Pallidum,25597.0,25597.0,26260.0,25766.0
Brain-Stem,365216.0,365216.0,363104.0,360240.0
Left-Hippocampus,59653.0,59653.0,59177.0,59687.0
Left-Amygdala,31122.0,31122.0,30744.0,31500.0
Left-Accumbens-area,17082.0,17082.0,17030.0,17316.0
Right-Thalamus-Proper,411894.0,411894.0,411404.0,411600.0
Right-Caudate,198600.0,198600.0,197650.0,197650.0
Right-Putamen,264384.0,264384.0,264690.0,265200.0
Right-Pallidum,105456.0,105456.0,105820.0,101764.0
Right-Hippocampus,208926.0,208926.0,207548.0,207548.0
Right-Amygdala,88992.0,88992.0,90612.0,89424.0
Right-Accumbens-area,28942.0,28942.0,31494.0,30450.0
