label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,77650.0,77650.0,77650.0,77760.0
Left-Caudate,39424.0,39424.0,39424.0,39578.0
Left-Putamen,57144.0,57144.0,57144.0,59244.0
Left-Pallidum,22165.0,22165.0,22165.0,22074.0
Brain-Stem,313392.0,313392.0,313392.0,317632.0
Left-Hippocampus,72233.0,72233.0,72233.0,72165.0
Left-Amygdala,23724.0,23724.0,23742.0,23580.0
Left-Accumbens-area,11518.0,11518.0,11518.0,11362.0
Right-Thalamus-Proper,358729.0,358729.0,358729.0,362306.0
Right-Caudate,181400.0,181400.0,181400.0,182800.0
Right-Putamen,271524.0,271524.0,271524.0,272085.0
Right-Pallidum,82680.0,82680.0,82680.0,82316.0
Right-Hippocampus,215763.0,215763.0,215763.0,219950.0
Right-Amygdala,69282.0,69282.0,69282.0,74466.0
Right-Accumbens-area,23142.0,23142.0,23142.0,21402.0
