label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,72970.0,72970.0,73000.0,72980.0
Left-Caudate,36729.0,36729.0,36487.0,36663.0
Left-Putamen,55692.0,55692.0,56388.0,56304.0
Left-Pallidum,22412.0,22412.0,22451.0,22529.0
Brain-Stem,330544.0,330544.0,330944.0,325440.0
Left-Hippocampus,64056.0,64056.0,64141.0,64515.0
Left-Amygdala,24462.0,24462.0,24606.0,24552.0
Left-Accumbens-area,10452.0,10452.0,10816.0,10556.0
Right-Thalamus-Proper,342118.0,342118.0,342265.0,342216.0
Right-Caudate,165800.0,165800.0,166800.0,166600.0
Right-Putamen,242352.0,242352.0,242046.0,242556.0
Right-Pallidum,89024.0,89024.0,87048.0,89076.0
Right-Hippocampus,186454.0,186454.0,181578.0,180518.0
Right-Amygdala,80460.0,80460.0,81054.0,78570.0
Right-Accumbens-area,21402.0,21402.0,20996.0,20416.0
