label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,104400.0,104400.0,104500.0,104540.0
Left-Caudate,46871.0,46871.0,46827.0,46948.0
Left-Putamen,81192.0,81192.0,80052.0,80496.0
Left-Pallidum,30667.0,30667.0,30693.0,30667.0
Brain-Stem,459424.0,459424.0,459344.0,459664.0
Left-Hippocampus,79254.0,79254.0,79050.0,79458.0
Left-Amygdala,33606.0,33606.0,32922.0,34128.0
Left-Accumbens-area,20670.0,20670.0,20566.0,20904.0
Right-Thalamus-Proper,504406.0,504406.0,508473.0,508620.0
Right-Caudate,215050.0,215050.0,214650.0,214450.0
Right-Putamen,318087.0,318087.0,314619.0,319158.0
Right-Pallidum,107484.0,107484.0,107432.0,106860.0
Right-Hippocampus,244966.0,244966.0,242634.0,248358.0
Right-Amygdala,97200.0,97200.0,94662.0,100386.0
Right-Accumbens-area,40484.0,40484.0,40890.0,40426.0
