label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,79030.0,79030.0,78560.0,79390.0
Left-Caudate,42548.0,42548.0,42625.0,42834.0
Left-Putamen,55548.0,55548.0,56340.0,55872.0
Left-Pallidum,20332.0,20332.0,20280.0,20384.0
Brain-Stem,313264.0,313264.0,313216.0,314240.0
Left-Hippocampus,68051.0,68051.0,68374.0,68119.0
Left-Amygdala,27936.0,27936.0,28008.0,28206.0
Left-Accumbens-area,12922.0,12922.0,12922.0,13052.0
Right-Thalamus-Proper,373772.0,373772.0,374066.0,373870.0
Right-Caudate,186100.0,186100.0,184350.0,186100.0
Right-Putamen,248676.0,248676.0,247707.0,248421.0
Right-Pallidum,85904.0,85904.0,85436.0,85488.0
Right-Hippocampus,202513.0,202513.0,206488.0,205799.0
Right-Amygdala,76896.0,76896.0,76572.0,76950.0
Right-Accumbens-area,21518.0,21518.0,21866.0,21866.0
