label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,106240.0,106240.0,106220.0,106270.0
Left-Caudate,38401.0,38401.0,39391.0,38995.0
Left-Putamen,72108.0,72108.0,72084.0,72012.0
Left-Pallidum,27872.0,27872.0,27885.0,28028.0
Brain-Stem,459152.0,459152.0,459024.0,465168.0
Left-Hippocampus,77690.0,77690.0,78421.0,78455.0
Left-Amygdala,33408.0,33408.0,33768.0,33156.0
Left-Accumbens-area,19266.0,19266.0,18460.0,19578.0
Right-Thalamus-Proper,486570.0,486570.0,487158.0,487207.0
Right-Caudate,174050.0,174050.0,174950.0,176400.0
Right-Putamen,301257.0,301257.0,302481.0,301104.0
Right-Pallidum,102908.0,102908.0,102804.0,103376.0
Right-Hippocampus,251644.0,251644.0,254082.0,251538.0
Right-Amygdala,101088.0,101088.0,100494.0,105408.0
Right-Accumbens-area,36946.0,36946.0,39788.0,37526.0
