label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,88010.0,88010.0,88150.0,88080.0
Left-Caudate,39292.0,39292.0,38874.0,39116.0
Left-Putamen,66780.0,66780.0,67980.0,68004.0
Left-Pallidum,25428.0,25428.0,25948.0,25987.0
Brain-Stem,390592.0,390592.0,390928.0,390672.0
Left-Hippocampus,73440.0,73440.0,72879.0,73525.0
Left-Amygdala,30708.0,30708.0,30978.0,30564.0
Left-Accumbens-area,17472.0,17472.0,17758.0,17654.0
Right-Thalamus-Proper,425369.0,425369.0,424144.0,423752.0
Right-Caudate,176250.0,176250.0,175500.0,174650.0
Right-Putamen,293607.0,293607.0,288099.0,292893.0
Right-Pallidum,103948.0,103948.0,104832.0,106756.0
Right-Hippocampus,220480.0,220480.0,219579.0,219102.0
Right-Amygdala,78948.0,78948.0,79272.0,79704.0
Right-Accumbens-area,30044.0,30044.0,30334.0,30798.0
