label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,75590.0,75590.0,75560.0,75550.0
Left-Caudate,32241.0,32241.0,32351.0,32318.0
Left-Putamen,58272.0,58272.0,58464.0,58116.0
Left-Pallidum,19981.0,19981.0,19968.0,20007.0
Brain-Stem,337120.0,337120.0,336800.0,337984.0
Left-Hippocampus,56321.0,56321.0,55250.0,56049.0
Left-Amygdala,27864.0,27864.0,28566.0,27882.0
Left-Accumbens-area,10504.0,10504.0,10244.0,10374.0
Right-Thalamus-Proper,358386.0,358386.0,358386.0,358288.0
Right-Caudate,142550.0,142550.0,142700.0,142800.0
Right-Putamen,258672.0,258672.0,258468.0,259590.0
Right-Pallidum,83252.0,83252.0,83304.0,83512.0
Right-Hippocampus,185288.0,185288.0,183645.0,182850.0
Right-Amygdala,77382.0,77382.0,78138.0,77760.0
Right-Accumbens-area,18444.0,18444.0,18560.0,18038.0
