label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,73230.0,73230.0,73230.0,73290.0
Left-Caudate,34375.0,34375.0,34364.0,34243.0
Left-Putamen,48444.0,48444.0,48444.0,47376.0
Left-Pallidum,20436.0,20436.0,20436.0,19968.0
Brain-Stem,316672.0,316672.0,316672.0,314048.0
Left-Hippocampus,58854.0,58854.0,58854.0,58803.0
Left-Amygdala,28548.0,28548.0,28566.0,28566.0
Left-Accumbens-area,9620.0,9620.0,9620.0,9828.0
Right-Thalamus-Proper,363335.0,363335.0,363335.0,362943.0
Right-Caudate,168300.0,168300.0,168300.0,167450.0
Right-Putamen,189210.0,189210.0,189210.0,190383.0
Right-Pallidum,84604.0,84604.0,84604.0,84084.0
Right-Hippocampus,190217.0,190217.0,190217.0,190058.0
Right-Amygdala,77382.0,77382.0,77382.0,78408.0
Right-Accumbens-area,18560.0,18560.0,18560.0,18212.0
