label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,72680.0,72680.0,72670.0,72680.0
Left-Caudate,39116.0,39116.0,39270.0,39270.0
Left-Putamen,60948.0,60948.0,60948.0,61356.0
Left-Pallidum,26065.0,26065.0,26247.0,26156.0
Brain-Stem,305552.0,305552.0,306848.0,317776.0
Left-Hippocampus,58531.0,58531.0,58225.0,58021.0
Left-Amygdala,25920.0,25920.0,25668.0,25848.0
Left-Accumbens-area,12298.0,12298.0,12376.0,12090.0
Right-Thalamus-Proper,349762.0,349762.0,350203.0,350301.0
Right-Caudate,174600.0,174600.0,176000.0,174950.0
Right-Putamen,260151.0,260151.0,259539.0,255714.0
Right-Pallidum,95732.0,95732.0,95836.0,95056.0
Right-Hippocampus,201983.0,201983.0,202460.0,198220.0
Right-Amygdala,69876.0,69876.0,71010.0,70308.0
Right-Accumbens-area,23432.0,23432.0,22968.0,24418.0
