label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,88450.0,88450.0,88320.0,88470.0
Left-Caudate,37939.0,37939.0,37070.0,37895.0
Left-Putamen,62892.0,62892.0,63288.0,62820.0
Left-Pallidum,23075.0,23075.0,23504.0,23075.0
Brain-Stem,355616.0,355616.0,355344.0,353984.0
Left-Hippocampus,75939.0,75939.0,74681.0,76398.0
Left-Amygdala,29250.0,29250.0,29880.0,29358.0
Left-Accumbens-area,15652.0,15652.0,14690.0,15392.0
Right-Thalamus-Proper,433748.0,433748.0,431151.0,433797.0
Right-Caudate,174950.0,174950.0,174250.0,175300.0
Right-Putamen,257499.0,257499.0,256632.0,257856.0
Right-Pallidum,97188.0,97188.0,96564.0,97396.0
Right-Hippocampus,228854.0,228854.0,229861.0,228748.0
Right-Amygdala,92394.0,92394.0,89964.0,90558.0
Right-Accumbens-area,29580.0,29580.0,29580.0,30682.0
